"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Denver Broncos","DST","DEN","6","22","9","15","4","6","9","21","1","12","BYE","5","17","6","3","1","15","9.5","152"
"2","Kansas City Chiefs","DST","KC","1","7","35","-2","BYE","10","11","11","11","13","4","9","11","5","8","10","4","9.3","148"
"3","Arizona Cardinals","DST","ARI","6","23","8","5","15","12","8","3","BYE","6","5","1","6","7","7","8","26","9.1","146"
"4","New York Giants","DST","NYG","1","13","3","0","4","2","21","BYE","7","6","7","23","6","13","12","3","20","8.8","141"
"5","Minnesota Vikings","DST","MIN","21","12","20","8","10","BYE","8","2","3","3","14","3","8","6","-1","0","22","8.7","139"
"6","Tampa Bay Buccaneers","DST","TB","3","0","10","4","9","BYE","11","3","0","24","5","19","12","11","5","1","16","8.3","133"
"7","Philadelphia Eagles","DST","PHI","11","10","16","BYE","6","8","18","3","4","5","2","0","3","10","7","13","12","8","128"
"8","New England Patriots","DST","NE","3","8","18","3","10","5","3","2","BYE","3","6","7","12","7","17","17","5","7.9","126"
"9","Carolina Panthers","DST","CAR","8","14","2","7","3","-1","BYE","19","10","6","9","4","1","18","8","4","12","7.8","124"
"10","Baltimore Ravens","DST","BAL","6","11","12","1","6","7","16","BYE","12","14","1","8","15","6","3","3","1","7.6","122"
"11","Los Angeles Chargers","DST","LAC","4","9","12","2","4","12","5","13","14","3","-","13","3","3","7","10","5","7.4","119"
"12","Seattle Seahawks","DST","SEA","10","7","3","11","BYE","8","13","10","7","6","7","7","8","-3","11","2","9","7.3","116"
"13","Atlanta Falcons","DST","ATL","1","0","11","11","9","2","13","2","5","4","BYE","5","4","26","8","7","3","6.9","111"
"14","Pittsburgh Steelers","DST","PIT","5","6","-1","9","7","0","4","BYE","6","0","22","11","9","8","4","4","12","6.6","106"
"15","Miami Dolphins","DST","MIA","12","3","7","1","0","7","4","BYE","7","17","7","6","0","14","22","1","-4","6.5","104"
"16","Buffalo Bills","DST","BUF","10","5","22","15","17","6","0","1","4","BYE","9","2","-4","6","9","1","0","6.4","103"
"17","Green Bay Packers","DST","GB","5","7","5","BYE","7","5","12","1","5","-3","-2","10","8","19","9","8","4","6.3","100"
"18","Las Vegas Raiders","DST","LV","2","-1","11","4","9","1","8","2","7","-","7","12","8","7","9","6","2","5.9","94"
"19","Cincinnati Bengals","DST","CIN","4","5","4","13","2","-1","7","3","BYE","5","5","7","8","9","1","9","11","5.8","92"
"19","Tennessee Titans","DST","TEN","4","7","4","5","11","6","1","4","0","11","4","4","BYE","11","4","3","13","5.8","92"
"21","Dallas Cowboys","DST","DAL","5","4","6","4","5","10","BYE","5","8","0","2","0","6","13","13","8","2","5.7","91"
"21","Los Angeles Rams","DST","LAR","1","11","12","17","3","0","6","BYE","9","10","7","0","0","1","4","8","2","5.7","91"
"23","Houston Texans","DST","HOU","8","14","1","4","1","5","0","5","BYE","12","2","3","3","8","7","9","7","5.6","89"
"24","Washington Commanders","DST","WAS","-1","6","8","8","7","6","4","7","BYE","6","6","0","1","9","2","12","5","5.4","86"
"25","Indianapolis Colts","DST","IND","-3","3","10","2","2","3","11","2","5","BYE","6","-1","11","4","18","1","7","5.1","81"
"26","Chicago Bears","DST","CHI","4","1","1","7","4","7","11","9","BYE","5","0","0","15","14","3","-4","1","4.9","78"
"27","Detroit Lions","DST","DET","0","8","1","3","7","2","7","6","4","BYE","13","6","11","5","3","-3","0","4.6","73"
"28","Jacksonville Jaguars","DST","JAC","1","1","9","8","BYE","2","-1","-4","3","2","9","4","3","2","4","12","9","4","64"
"29","San Francisco 49ers","DST","SF","16","6","2","2","0","3","3","BYE","-3","10","0","1","3","8","-1","8","5","3.9","63"
"30","New Orleans Saints","DST","NO","-4","12","-2","8","BYE","2","0","4","9","10","2","7","1","5","1","6","-3","3.6","58"
"31","New York Jets","DST","NYJ","9","2","6","2","2","-1","12","4","1","7","BYE","0","-3","3","2","-3","13","3.5","56"
"32","Cleveland Browns","DST","CLE","1","4","12","4","0","3","4","1","-4","5","1","3","BYE","4","0","4","6","3","48"
""
""
