"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Chicago Bears","DST","CHI","14","17","13","14","BYE","5","6","5","28","12","15","13","5","20","8","7","8","11.9","190"
"2","Los Angeles Rams","DST","LAR","17","13","13","5","1","5","22","7","-2","5","21","BYE","9","8","1","8","16","9.3","149"
"3","Houston Texans","DST","HOU","8","2","4","13","7","19","14","4","5","BYE","15","9","18","4","5","6","14","9.2","147"
"4","New England Patriots","DST","NE","8","3","3","10","7","0","12","20","4","1","BYE","8","10","5","7","10","23","8.2","131"
"5","Denver Broncos","DST","DEN","12","3","4","1","4","7","32","3","5","BYE","7","10","14","6","7","1","10","7.9","126"
"5","Baltimore Ravens","DST","BAL","17","-1","6","6","11","21","3","-4","1","BYE","1","12","15","5","7","20","6","7.9","126"
"7","Kansas City Chiefs","DST","KC","4","-3","4","6","22","0","14","9","5","10","11","BYE","8","4","8","-1","24","7.8","125"
"7","Minnesota Vikings","DST","MIN","18","4","3","-3","13","12","12","2","22","BYE","8","7","2","5","13","7","0","7.8","125"
"9","Seattle Seahawks","DST","SEA","7","7","15","4","4","17","BYE","10","3","-2","5","2","16","15","5","4","11","7.7","123"
"10","Washington Commanders","DST","WAS","13","5","7","BYE","0","8","15","15","0","17","10","3","1","3","14","4","5","7.5","120"
"11","Indianapolis Colts","DST","IND","5","9","10","8","0","2","19","1","BYE","3","13","3","12","5","16","2","10","7.4","118"
"12","Pittsburgh Steelers","DST","PIT","10","1","17","4","16","3","BYE","7","3","15","9","2","1","6","7","4","8","7.1","113"
"12","Tennessee Titans","DST","TEN","5","7","12","6","7","2","3","BYE","10","7","-4","3","5","10","17","13","10","7.1","113"
"14","New Orleans Saints","DST","NO","-4","6","0","8","8","BYE","1","15","-2","9","13","15","15","8","12","6","0","6.9","110"
"15","Los Angeles Chargers","DST","LAC","-3","10","4","5","11","10","5","BYE","13","13","0","8","2","3","1","6","21","6.8","109"
"15","Jacksonville Jaguars","DST","JAC","13","5","7","9","5","-1","2","8","BYE","1","9","0","17","4","4","17","9","6.8","109"
"17","Buffalo Bills","DST","BUF","0","1","17","6","12","14","-2","3","2","11","BYE","7","5","4","4","7","16","6.7","107"
"18","Miami Dolphins","DST","MIA","7","13","8","0","6","7","0","-4","25","4","BYE","7","9","1","6","12","5","6.6","106"
"19","Arizona Cardinals","DST","ARI","5","3","8","3","21","14","3","5","BYE","5","4","2","2","7","1","3","15","6.3","101"
"20","Detroit Lions","DST","DET","8","5","8","3","10","BYE","4","1","6","0","6","7","5","18","2","2","15","6.3","100"
"20","Cleveland Browns","DST","CLE","16","7","9","3","11","-1","14","4","0","7","BYE","7","4","4","7","4","4","6.3","100"
"22","Dallas Cowboys","DST","DAL","6","12","2","3","6","11","2","BYE","7","5","6","9","8","4","2","14","1","6.1","98"
"23","Philadelphia Eagles","DST","PHI","10","6","3","5","4","10","2","7","BYE","4","-4","4","9","8","8","5","16","6.1","97"
"24","New York Jets","DST","NYJ","20","9","4","7","7","13","-3","2","8","-3","BYE","0","13","10","5","2","0","5.9","94"
"25","Green Bay Packers","DST","GB","6","10","1","23","2","7","BYE","4","1","14","5","2","3","13","3","-2","0","5.8","92"
"26","Carolina Panthers","DST","CAR","12","1","10","BYE","12","3","7","8","6","-3","2","1","6","5","10","5","5","5.6","90"
"27","Cincinnati Bengals","DST","CIN","12","10","0","-1","22","-1","0","19","BYE","-4","5","-4","4","2","10","1","10","5.3","85"
"28","New York Giants","DST","NYG","4","1","7","0","5","0","5","3","BYE","4","11","3","17","18","2","2","2","5.3","84"
"29","Atlanta Falcons","DST","ATL","7","4","-3","2","-2","5","5","BYE","6","1","2","3","11","3","20","14","2","5","80"
"30","Tampa Bay Buccaneers","DST","TB","7","7","5","-3","BYE","0","7","1","-2","4","3","12","13","4","7","1","2","4.3","68"
"31","San Francisco 49ers","DST","SF","6","4","-2","8","1","2","-3","10","15","1","BYE","1","-1","3","3","8","-4","3.3","52"
"32","Las Vegas Raiders","DST","LV","1","4","0","12","1","3","-","-4","-1","4","5","4","-1","3","2","6","1","2.5","40"
""
""
