"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Seattle Seahawks","DST","SEA","9","22","10","17","8","11","11","11","3","8","17","BYE","13","5","24","11","16","12.3","196"
"2","Carolina Panthers","DST","CAR","8","5","23","BYE","8","11","17","9","19","14","7","6","16","1","14","14","18","11.9","190"
"3","Kansas City Chiefs","DST","KC","23","8","23","13","16","25","8","4","22","BYE","2","-3","0","14","19","1","5","11.3","180"
"4","Arizona Cardinals","DST","ARI","10","5","5","12","24","5","6","16","BYE","12","7","13","5","20","14","12","2","10.5","168"
"5","Cincinnati Bengals","DST","CIN","2","10","12","5","15","7","1","24","6","12","26","BYE","12","-1","2","19","15","10.4","167"
"6","San Francisco 49ers","DST","SF","5","6","1","13","22","12","14","12","BYE","11","5","15","9","6","15","11","6","10.2","163"
"7","Los Angeles Rams","DST","LAR","9","2","2","2","15","29","4","8","7","23","-","13","6","3","12","15","4","9.6","154"
"8","New England Patriots","DST","NE","5","16","12","4","12","5","12","14","10","BYE","3","10","2","1","6","28","5","9.1","145"
"9","Buffalo Bills","DST","BUF","15","8","4","15","4","5","14","0","6","6","19","BYE","7","5","12","21","2","8.9","143"
"10","Indianapolis Colts","DST","IND","6","7","11","23","12","3","11","BYE","1","3","4","3","10","-4","17","17","11","8.4","135"
"11","Tampa Bay Buccaneers","DST","TB","10","15","5","11","BYE","2","2","2","6","7","15","19","4","24","2","5","-3","7.9","126"
"12","Philadelphia Eagles","DST","PHI","11","4","6","-3","9","5","7","10","8","9","9","BYE","11","8","1","21","6","7.6","122"
"13","Miami Dolphins","DST","MIA","16","6","4","0","12","BYE","7","5","22","4","6","7","17","6","4","4","1","7.6","121"
"14","New York Giants","DST","NYG","4","-2","1","6","-3","0","11","17","BYE","16","16","7","8","0","6","15","18","7.5","120"
"15","Dallas Cowboys","DST","DAL","26","6","12","8","0","8","16","8","12","-1","BYE","10","5","-3","0","2","7","7.3","116"
"15","Tennessee Titans","DST","TEN","13","11","6","23","7","13","2","BYE","6","7","0","5","7","-4","1","6","13","7.3","116"
"17","Denver Broncos","DST","DEN","9","9","3","11","4","10","0","20","BYE","5","6","14","1","5","2","11","5","7.2","115"
"18","Chicago Bears","DST","CHI","7","13","25","6","1","13","-1","BYE","8","2","14","-2","7","1","11","0","6","6.9","111"
"18","Baltimore Ravens","DST","BAL","1","12","15","8","7","8","6","BYE","4","12","3","16","1","2","8","1","7","6.9","111"
"18","Cleveland Browns","DST","CLE","6","5","12","13","12","2","0","6","10","BYE","9","0","3","8","19","0","6","6.9","111"
"21","Pittsburgh Steelers","DST","PIT","4","1","2","0","BYE","14","2","8","1","9","8","23","2","9","4","12","11","6.9","110"
"22","New Orleans Saints","DST","NO","8","9","12","13","6","6","BYE","11","2","4","6","11","0","9","0","7","5","6.8","109"
"23","Las Vegas Raiders","DST","LV","4","9","1","11","20","6","-","10","-3","16","6","3","9","2","0","7","3","6.5","104"
"24","Washington Commanders","DST","WAS","12","0","9","23","BYE","2","6","12","6","2","3","4","5","-2","7","6","8","6.4","103"
"25","Green Bay Packers","DST","GB","1","4","18","BYE","9","8","9","2","2","5","6","8","11","6","3","4","4","6.3","100"
"25","Detroit Lions","DST","DET","11","9","7","16","1","7","1","-1","BYE","5","-3","5","22","1","2","9","8","6.3","100"
"27","New York Jets","DST","NYJ","10","5","9","1","4","5","12","-1","7","BYE","0","7","3","12","2","11","10","6.1","97"
"28","Los Angeles Chargers","DST","LAC","4","1","3","6","4","7","15","-","9","3","7","3","5","9","4","9","2","5.7","91"
"29","Jacksonville Jaguars","DST","JAC","4","6","2","3","1","8","1","-2","BYE","17","3","11","10","8","8","6","0","5.4","86"
"30","Atlanta Falcons","DST","ATL","4","8","9","-1","3","BYE","11","5","4","0","-2","2","3","15","15","2","6","5.3","84"
"31","Minnesota Vikings","DST","MIN","3","15","10","9","BYE","-3","4","-2","5","4","-3","2","7","7","5","0","9","4.5","72"
"32","Houston Texans","DST","HOU","9","7","2","10","0","0","7","BYE","5","7","1","9","2","1","3","-3","4","4","64"
""
""
