"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Jacksonville Jaguars","DST","JAX","28","-1","12","15","28","5","20","BYE","6","5","25","11","12","8","10","2","13","12.4","199"
"2","Baltimore Ravens","DST","BAL","25","17","-4","3","12","8","2","29","5","BYE","26","9","16","-1","20","4","3","10.9","174"
"3","Philadelphia Eagles","DST","PHI","22","4","4","4","7","8","6","19","8","BYE","22","13","2","11","5","21","10","10.4","166"
"4","Los Angeles Rams","DST","LAR","28","2","4","5","8","15","17","BYE","10","15","0","4","20","7","17","4","5","10.1","161"
"5","Los Angeles Chargers","DST","LAC","8","3","5","1","9","6","21","3","BYE","9","25","19","11","8","0","13","10","9.4","151"
"6","Detroit Lions","DST","DET","16","11","13","12","3","11","BYE","5","5","14","9","3","-4","13","12","5","16","9","144"
"7","New Orleans Saints","DST","NO","0","-2","14","16","BYE","32","4","8","17","8","1","6","4","8","6","13","8","8.9","143"
"8","Pittsburgh Steelers","DST","PIT","17","8","6","14","5","9","9","5","BYE","6","15","3","3","-1","4","18","10","8.2","131"
"8","Seattle Seahawks","DST","SEA","7","8","-1","20","14","BYE","7","13","11","8","2","9","9","1","0","20","3","8.2","131"
"10","Chicago Bears","DST","CHI","2","4","9","-2","7","15","30","7","BYE","3","5","6","5","11","7","14","2","7.8","125"
"10","Carolina Panthers","DST","CAR","15","10","0","2","8","4","12","16","5","2","BYE","11","3","12","11","13","1","7.8","125"
"12","Kansas City Chiefs","DST","KC","3","11","12","9","4","4","0","20","0","BYE","6","3","-4","10","14","8","18","7.4","118"
"13","Minnesota Vikings","DST","MIN","2","2","9","7","6","14","6","8","BYE","2","8","7","4","3","17","15","7","7.3","117"
"14","New England Patriots","DST","NE","1","2","6","5","3","9","6","10","BYE","6","9","17","13","2","4","10","13","7.3","116"
"15","Tennessee Titans","DST","TEN","2","9","1","0","9","4","12","BYE","7","6","-1","11","10","12","3","9","17","6.9","111"
"15","Arizona Cardinals","DST","ARI","8","10","0","6","2","6","2","BYE","13","5","4","10","3","11","4","24","3","6.9","111"
"17","Washington Commanders","DST","WAS","12","7","14","4","BYE","5","4","4","7","0","3","13","-3","9","10","14","6","6.8","109"
"18","Tampa Bay Buccaneers","DST","TB","0","19","-1","0","8","8","2","3","6","14","18","1","5","6","2","5","10","6.2","106"
"18","Denver Broncos","DST","DEN","4","13","4","9","BYE","5","3","5","6","-3","4","4","13","18","5","4","12","6.6","106"
"18","Dallas Cowboys","DST","DAL","12","2","7","-3","5","BYE","15","18","5","3","-1","0","13","8","1","4","17","6.6","106"
"21","Buffalo Bills","DST","BUF","9","10","8","14","8","BYE","7","15","0","-2","-3","8","5","5","10","6","4","6.5","104"
"22","Atlanta Falcons","DST","ATL","5","13","3","4","BYE","3","2","6","6","16","12","2","3","5","4","3","12","6.2","99"
"23","Cincinnati Bengals","DST","CIN","4","7","14","8","9","BYE","-1","13","2","6","9","5","3","1","3","5","9","6.1","97"
"24","Green Bay Packers","DST","GB","9","2","6","10","12","4","6","BYE","2","6","5","6","16","6","0","4","-2","5.8","92"
"25","Miami Dolphins","DST","MIA","0","2","6","2","20","5","6","0","5","-4","1","7","27","7","2","0","4","5.3","90"
"26","New York Giants","DST","NYG","2","5","5","1","4","21","3","BYE","-4","3","11","15","3","-1","0","7","13","5.5","88"
"27","Indianapolis Colts","DST","IND","2","7","6","8","2","5","5","9","8","5","BYE","5","0","8","4","2","10","5.4","86"
"28","Houston Texans","DST","HOU","0","9","9","19","-3","22","BYE","0","12","2","6","1","4","4","-3","-1","1","5.1","82"
"29","San Francisco 49ers","DST","SF","4","7","0","9","6","5","-4","5","5","5","BYE","2","3","6","3","12","11","4.9","79"
"30","Cleveland Browns","DST","CLE","4","6","4","4","6","9","8","3","BYE","5","8","0","2","1","1","7","6","4.6","74"
"31","New York Jets","DST","NYJ","4","-4","14","4","8","4","6","5","13","4","BYE","2","1","2","5","1","2","4.4","71"
"32","Las Vegas Raiders","DST","LV","2","9","5","5","0","4","0","-1","3","-","0","8","8","6","7","10","2","4.3","68"
