Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
255,Jared Cook,LAR,TE,15,TB,6,4,66.7,64,0,25,10.7,16,0,0,0,0,0,0,6.4,6.4
257,Zach Ertz,PHI,TE,7,CAR,8,5,62.5,63,0,24,7.9,12.6,0,0,0,0,0,0,6.3,6.3
257,Richard Rodgers,GB,TE,14,DAL,2,1,50,3,1,3,1.5,3,0,0,0,0,0,0,6.3,6.3
259,Vernon Davis,SF,TE,2,PIT,7,5,71.4,62,0,43,8.9,12.4,0,0,0,0,0,0,6.2,6.2
259,Jordan Cameron,MIA,TE,2,JAX,4,3,75,62,0,26,15.5,20.7,0,0,0,0,0,0,6.2,6.2
259,Jermaine Gresham,ARI,TE,7,BAL,6,4,66.7,62,0,21,10.3,15.5,0,0,0,0,0,0,6.2,6.2
259,Delanie Walker,TEN,TE,8,HOU,6,6,100,62,0,15,10.3,10.3,0,0,0,0,0,0,6.2,6.2
259,Brandon Pettigrew,DET,TE,10,GB,4,1,25,2,1,2,0.5,2,0,0,0,0,0,0,6.2,6.2
259,Charles Clay,BUF,TE,6,CIN,13,9,69.2,62,0,19,4.8,6.9,0,0,0,0,0,0,6.2,6.2
265,Scott Chandler,NE,TE,1,PIT,1,1,100,1,1,1,1,1,0,0,0,0,0,0,6.1,6.1
265,Eric Ebron,DET,TE,3,DEN,5,4,80,61,0,29,12.2,15.2,0,0,0,0,0,0,6.1,6.1
265,Vernon Davis,SF,TE,7,SEA,6,4,66.7,61,0,27,10.2,15.2,0,0,0,0,0,0,6.1,6.1
265,Kellen Davis,NYJ,TE,8,LV,1,1,100,1,1,1,1,1,0,0,0,0,0,0,6.1,6.1
265,Virgil Green,DEN,TE,8,GB,3,3,100,61,0,32,20.3,20.3,0,0,0,0,0,0,6.1,6.1
265,Clive Walford,LV,TE,9,PIT,5,1,20,1,1,1,0.2,1,0,0,0,0,0,0,6.1,6.1
265,Michael Hoomanawanui,NO,TE,9,TEN,3,1,33.3,1,1,1,0.3,1,0,0,0,0,0,0,6.1,6.1
265,Jacob Tamme,ATL,TE,9,SF,10,6,60,61,0,26,6.1,10.2,0,0,0,0,0,0,6.1,6.1
265,Scott Chandler,NE,TE,10,NYG,3,1,33.3,1,1,1,0.3,1,0,0,0,0,0,0,6.1,6.1
265,Jacob Tamme,ATL,TE,17,NO,5,4,80,61,0,32,12.2,15.2,0,0,0,0,0,0,6.1,6.1
265,John Phillips,LAC,TE,4,CLE,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,6.1,6.1
276,Zach Ertz,PHI,TE,5,NO,7,5,71.4,60,0,21,8.6,12,0,0,0,0,0,0,6,6
276,Benjamin Watson,NO,TE,9,TEN,5,5,100,60,0,19,12,12,0,0,0,0,0,0,6,6
276,Greg Scruggs,CHI,TE,17,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
279,Benjamin Watson,NO,TE,7,IND,5,4,80,59,0,25,11.8,14.8,0,0,0,0,0,0,5.9,5.9
279,Delanie Walker,TEN,TE,16,HOU,15,9,60,59,0,21,3.9,6.6,0,0,0,0,0,0,5.9,5.9
279,Gary Barnidge,CLE,TE,13,CIN,8,5,62.5,59,0,24,7.4,11.8,0,0,0,0,0,0,5.9,5.9
279,Martellus Bennett,CHI,TE,6,DET,11,6,54.5,59,0,19,5.4,9.8,0,0,0,0,0,0,5.9,5.9
283,Travis Kelce,KC,TE,2,DEN,5,4,80,58,0,29,11.6,14.5,0,0,0,0,0,0,5.8,5.8
283,Jared Cook,LAR,TE,12,CIN,6,4,66.7,58,0,25,9.7,14.5,0,0,0,0,0,0,5.8,5.8
285,Zach Miller,CHI,TE,15,MIN,6,6,100,57,0,17,9.5,9.5,0,0,0,0,0,0,5.7,5.7
285,Jason Witten,DAL,TE,4,NO,6,4,66.7,57,0,28,9.5,14.2,0,0,0,0,0,0,5.7,5.7
287,Jason Witten,DAL,TE,2,PHI,8,7,87.5,56,0,11,7,8,0,0,0,0,0,0,5.6,5.6
287,Antonio Gates,LAC,TE,8,BAL,5,4,80,56,0,30,11.2,14,0,0,0,0,0,0,5.6,5.6
287,Will Tye,NYG,TE,10,NE,7,5,71.4,56,0,31,8,11.2,0,0,0,0,0,0,5.6,5.6
290,Delanie Walker,TEN,TE,7,ATL,9,7,77.8,55,0,12,6.1,7.9,0,0,0,0,0,0,5.5,5.5
291,James O'Shaughnessy,KC,TE,2,DEN,2,2,100,54,0,30,27,27,0,0,0,0,0,0,5.4,5.4
291,Darren Fells,ARI,TE,15,PHI,3,3,100,54,0,36,18,18,0,0,0,0,0,0,5.4,5.4
291,Chris Gragg,BUF,TE,6,CIN,5,5,100,54,0,19,10.8,10.8,0,0,0,0,0,0,5.4,5.4
294,Kyle Rudolph,MIN,TE,1,SF,7,5,71.4,53,0,19,7.6,10.6,0,0,0,0,0,0,5.3,5.3
294,Crockett Gillmore,BAL,TE,7,ARI,7,5,71.4,53,0,23,7.6,10.6,0,0,0,0,0,0,5.3,5.3
294,Benjamin Watson,NO,TE,12,HOU,9,4,44.4,53,0,26,5.9,13.2,0,0,0,0,0,0,5.3,5.3
294,Kyle Rudolph,MIN,TE,12,ATL,10,7,70,53,0,13,5.3,7.6,0,0,0,0,0,0,5.3,5.3
294,Maxx Williams,BAL,TE,17,CIN,10,6,60,53,0,15,5.3,8.8,0,0,0,0,0,0,5.3,5.3
294,Clive Walford,LV,TE,13,KC,5,5,100,53,0,16,10.6,10.6,0,0,0,0,0,0,5.3,5.3
300,Charles Clay,BUF,TE,10,NYJ,6,5,83.3,52,0,25,8.7,10.4,0,0,0,0,0,0,5.2,5.2
300,Delanie Walker,TEN,TE,10,CAR,4,3,75,52,0,21,13,17.3,0,0,0,0,0,0,5.2,5.2
300,Greg Olsen,CAR,TE,14,ATL,4,3,75,52,0,24,13,17.3,0,0,0,0,1,0,5.2,5.2
303,Coby Fleener,IND,TE,3,TEN,6,4,66.7,51,0,19,8.5,12.8,0,0,0,0,0,0,5.1,5.1
304,Ladarius Green,LAC,TE,5,PIT,5,5,100,50,0,24,10,10,0,0,0,0,0,0,5,5
304,Antonio Gates,LAC,TE,13,DEN,9,6,66.7,50,0,15,5.6,8.3,0,0,0,0,0,0,5,5
304,Jordan Matthews,PHI,TE,4,WAS,8,3,37.5,50,0,30,6.2,16.7,0,0,0,0,0,0,5,5
307,Jordan Matthews,PHI,TE,3,NYJ,8,6,75,49,0,17,6.1,8.2,0,0,0,0,0,0,4.9,4.9
307,Trey Burton,PHI,TE,12,DET,2,2,100,49,0,43,24.5,24.5,0,0,0,0,0,0,4.9,4.9
307,Blake Bell,SF,TE,14,CLE,3,3,100,49,0,24,16.3,16.3,0,0,0,0,0,0,4.9,4.9
307,Eric Ebron,DET,TE,16,SF,5,4,80,49,0,20,9.8,12.2,0,0,0,0,0,0,4.9,4.9
307,Heath Miller,PIT,TE,16,BAL,6,5,83.3,49,0,20,8.2,9.8,0,0,0,0,0,0,4.9,4.9
307,Jason Witten,DAL,TE,15,NYJ,5,5,100,49,0,15,9.8,9.8,0,0,0,0,0,0,4.9,4.9
313,Martellus Bennett,CHI,TE,2,ARI,6,4,66.7,48,0,21,8,12,0,0,0,0,0,0,4.8,4.8
313,Will Tye,NYG,TE,5,SF,4,4,100,48,0,18,12,12,0,0,0,0,0,0,4.8,4.8
313,Owen Daniels,DEN,TE,12,NE,6,5,83.3,48,0,12,8,9.6,0,0,0,0,0,0,4.8,4.8
313,Austin Seferian-Jenkins,TB,TE,17,CAR,7,3,42.9,48,0,21,6.9,16,0,0,0,0,0,0,4.8,4.8
317,Vernon Davis,SF,TE,1,MIN,6,3,50,47,0,20,7.8,15.7,0,0,0,0,0,0,4.7,4.7
317,Jared Cook,LAR,TE,2,WAS,7,5,71.4,47,0,14,6.7,9.4,0,0,0,0,0,0,4.7,4.7
