Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
553,Kellen Winslow,NYJ,TE,11,BUF,4,3,75,25,0,11,6.2,8.3,0,0,0,0,0,0,2.5,2.5
569,Lance Kendricks,LAR,TE,2,ATL,4,2,50,24,0,10,6,12,0,0,0,0,0,0,2.4,2.4
569,Jordan Reed,WAS,TE,2,GB,4,3,75,24,0,10,6,8,0,0,0,0,0,0,2.4,2.4
569,Ed Dickson,BAL,TE,4,BUF,3,2,66.7,24,0,10,8,12,0,0,0,0,0,0,2.4,2.4
569,Vance McDonald,SF,TE,4,LAR,2,1,50,24,0,11,12,24,0,0,0,0,0,0,2.4,2.4
569,Michael Hoomanawanui,NE,TE,6,NO,1,1,100,24,0,10,24,24,0,0,0,0,0,0,2.4,2.4
569,Luke Willson,SEA,TE,6,TEN,3,2,66.7,24,0,10,8,12,0,0,0,0,0,0,2.4,2.4
569,Sean McGrath,KC,TE,7,HOU,3,2,66.7,24,0,10,8,12,0,0,0,0,0,0,2.4,2.4
569,Garrett Graham,HOU,TE,3,BAL,3,3,100,24,0,11,8,8,0,0,0,0,0,0,2.4,2.4
569,John Carlson,MIN,TE,9,DAL,5,5,100,24,0,10,4.8,4.8,0,0,0,0,0,0,2.4,2.4
569,Ladarius Green,LAC,TE,9,WAS,1,1,100,24,0,10,24,24,0,0,0,0,0,0,2.4,2.4
569,Michael Hoomanawanui,NE,TE,15,MIA,2,2,100,24,0,10,12,12,0,0,0,0,0,0,2.4,2.4
569,Sean McGrath,KC,TE,13,DEN,2,2,100,24,0,10,12,12,0,0,0,0,0,0,2.4,2.4
569,Jeron Mastrud,LV,TE,1,IND,3,3,100,24,0,10,8,8,0,0,0,0,0,0,2.4,2.4
569,Brent Celek,PHI,TE,14,DET,2,2,100,24,0,11,12,12,0,0,0,0,0,0,2.4,2.4
569,Clay Harbor,JAX,TE,12,HOU,3,2,66.7,24,0,10,8,12,0,0,0,0,0,0,2.4,2.4
584,Sean McGrath,KC,TE,8,CLE,3,2,66.7,23,0,10,7.7,11.5,0,0,0,0,0,0,2.3,2.3
584,John Carlson,MIN,TE,6,CAR,4,4,100,23,0,10,5.8,5.8,0,0,0,0,0,0,2.3,2.3
584,Zach Miller,SEA,TE,6,TEN,3,2,66.7,23,0,10,7.7,11.5,0,0,0,0,0,0,0,2.3
584,Lance Kendricks,LAR,TE,6,HOU,3,3,100,23,0,10,7.7,7.7,0,0,0,0,0,0,2.3,2.3
584,Mychal Rivera,LV,TE,10,NYG,3,2,66.7,23,0,10,7.7,11.5,0,0,0,0,0,0,2.3,2.3
584,Gary Barnidge,CLE,TE,7,GB,4,4,100,23,0,10,5.8,5.8,0,0,0,0,0,0,2.3,2.3
584,Andrew Quarless,GB,TE,7,CLE,3,3,100,23,0,10,7.7,7.7,0,0,0,0,0,0,2.3,2.3
584,Garrett Graham,HOU,TE,5,SF,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,2.3,2.3
584,Tony Scheffler,DET,TE,3,WAS,5,2,40,23,0,10,4.6,11.5,0,0,0,0,0,0,2.3,2.3
584,Lance Kendricks,LAR,TE,3,DAL,2,1,50,23,0,10,11.5,23,0,0,0,0,0,0,2.3,2.3
584,Luke Stocker,TB,TE,3,NE,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,0,2.3
584,Sean McGrath,KC,TE,9,BUF,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,2.3,2.3
584,Jacob Tamme,DEN,TE,13,KC,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,2.3,2.3
584,Logan Paulsen,WAS,TE,13,NYG,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,2.3,2.3
584,Mychal Rivera,LV,TE,17,DEN,3,2,66.7,23,0,10,7.7,11.5,0,0,0,0,0,0,2.3,2.3
584,Benjamin Watson,NO,TE,1,ATL,5,2,40,23,0,10,4.6,11.5,0,0,0,0,0,0,2.3,2.3
