PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Alexander Mattison,MIN,RB,2,PHI,0,0,0,13.94,60.08,0.4,2.06,13.75,0.09,0,0,0,8,28,0,3,11,0,10.32,12.38,11.35,3.9,6.9,5.4,0,0,0,-5.94,-32.08,-0.4,0.94,-2.75,-0.09,-6.42,-5.48,-5.95
D'Andre Swift,PHI,RB,2,MIN,0,0,0,6.26,27.53,0.27,2.71,18.05,0.11,0,0,0,28,175,0,3,6,0,6.84,9.55,8.2,18.1,21.1,19.6,0,0,0,21.74,147.47,-0.27,0.29,-12.05,-0.11,11.26,11.55,11.4
Rashaad Penny,PHI,RB,2,MIN,0,0,0,7.82,36.81,0.27,0.68,4.73,0.03,0,0,0,3,9,0,1,5,0,5.95,6.63,6.29,1.4,2.4,1.9,0,0,0,-4.82,-27.81,-0.27,0.32,0.27,-0.03,-4.55,-4.23,-4.39
Boston Scott,PHI,RB,2,MIN,0,0,0,7.19,30.05,0.28,0.8,5.5,0.03,0,0,0,5,40,0,0,0,0,5.42,6.22,5.82,4,4,4,0,0,0,-2.19,9.95,-0.28,-0.8,-5.5,-0.03,-1.42,-2.22,-1.82
Ty Chandler,MIN,RB,2,PHI,0,0,0,6.09,25.6,0.14,0.69,4.7,0.03,0,0,0,1,0,0,2,9,0,4.05,4.74,4.39,0.9,2.9,1.9,0,0,0,-5.09,-25.6,-0.14,1.31,4.3,-0.03,-3.15,-1.84,-2.49
Derrick Henry,TEN,RB,2,LAC,0,0,0,19.92,97.45,0.7,1.51,14.65,0.07,0,0,0,25,80,0,3,15,0,15.83,17.34,16.58,9.5,12.5,11,0,0,0,5.08,-17.45,-0.7,1.49,0.35,-0.07,-6.33,-4.84,-5.59
Bijan Robinson,ATL,RB,2,GB,0,0,0,15.49,69.45,0.54,3.68,26.22,0.19,0,0,0,19,124,0,4,48,0,13.95,17.63,15.79,17.2,21.2,19.2,0,0,0,3.51,54.55,-0.54,0.32,21.78,-0.19,3.25,3.57,3.41
Josh Jacobs,LV,RB,2,BUF,0,0,0,17.29,76.07,0.54,2.45,15.47,0.08,0,0,0,9,-2,0,5,51,0,12.87,15.32,14.1,4.9,9.9,7.4,0,0,0,-8.29,-78.07,-0.54,2.55,35.53,-0.08,-7.97,-5.42,-6.69
David Montgomery,DET,RB,2,SEA,0,0,0,15.34,63.09,0.58,1.98,16.95,0.11,0,0,0,16,67,0,1,7,0,12.14,14.12,13.13,7.4,8.4,7.9,0,0,0,0.66,3.91,-0.58,-0.98,-9.95,-0.11,-4.74,-5.72,-5.23
Joe Mixon,CIN,RB,2,BAL,0,0,0,15.55,62.88,0.48,2.83,19.28,0.14,0,0,0,13,59,0,4,36,0,11.94,14.77,13.36,9.5,13.5,11.5,0,0,0,-2.55,-3.88,-0.48,1.17,16.72,-0.14,-2.44,-1.27,-1.86
Travis Etienne,JAC,RB,2,KC,0,0,0,14.86,67.65,0.51,2.25,16.43,0.11,0,0,0,12,40,0,2,2,0,12.13,14.38,13.26,4.2,6.2,5.2,0,0,0,-2.86,-27.65,-0.51,-0.25,-14.43,-0.11,-7.93,-8.18,-8.06
Tyler Allgeier,ATL,RB,2,GB,0,0,0,17.03,78.94,0.48,1.24,8.52,0.06,0,0,0,16,48,0,0,0,0,11.99,13.23,12.61,4.8,4.8,4.8,0,0,0,-1.03,-30.94,-0.48,-1.24,-8.52,-0.06,-7.19,-8.43,-7.81
James Cook,BUF,RB,2,LV,0,0,0,13.76,62.5,0.41,2.66,19.83,0.14,0,0,0,17,123,0,4,36,0,11.53,14.19,12.86,15.9,19.9,17.9,0,0,0,3.24,60.5,-0.41,1.34,16.17,-0.14,4.37,5.71,5.04
Kenneth Walker,SEA,RB,2,DET,0,0,0,15.44,69.71,0.38,2.18,14.58,0.09,0,0,0,17,43,0,1,11,0,11.25,13.43,12.34,5.4,6.4,5.9,0,0,0,1.56,-26.71,-0.38,-1.18,-3.58,-0.09,-5.85,-7.03,-6.44
AJ Dillon,GB,RB,2,ATL,0,0,0,15.5,67.23,0.4,2.01,15.85,0.08,0,0,0,15,55,0,1,8,0,11.19,13.2,12.2,6.3,7.3,6.8,0,0,0,-0.5,-12.23,-0.4,-1.01,-7.85,-0.08,-4.89,-5.9,-5.4
Rachaad White,TB,RB,2,CHI,0,0,0,14.63,63.91,0.41,2.42,16.46,0.11,0,0,0,17,73,0,5,30,0,11.16,13.58,12.37,10.3,15.3,12.8,0,0,0,2.37,9.09,-0.41,2.58,13.54,-0.11,-0.86,1.72,0.43
Dameon Pierce,HOU,RB,2,IND,0,0,0,15.21,65.55,0.41,1.94,13,0.08,0,0,0,15,31,0,2,4,0,10.8,12.74,11.77,3.5,5.5,4.5,0,0,0,-0.21,-34.55,-0.41,0.06,-9,-0.08,-7.3,-7.24,-7.27
Joshua Kelley,LAC,RB,2,TEN,0,0,0,14.43,59.45,0.3,2.17,14.75,0.11,0,0,0,13,39,0,0,0,0,9.88,12.05,10.96,3.9,3.9,3.9,0,0,0,-1.43,-20.45,-0.3,-2.17,-14.75,-0.11,-5.98,-8.15,-7.06
Jahmyr Gibbs,DET,RB,2,SEA,0,0,0,9.94,45.26,0.38,2.44,19.74,0.14,0,0,0,7,17,0,7,39,0,9.62,12.06,10.84,5.6,12.6,9.1,0,0,0,-2.94,-28.26,-0.38,4.56,19.26,-0.14,-4.02,0.54,-1.74
Khalil Herbert,CHI,RB,2,TB,0,0,0,13.56,61.5,0.31,1.18,8.13,0.06,0,0,0,7,35,0,1,23,0,9.18,10.36,9.77,5.8,6.8,6.3,0,0,0,-6.56,-26.5,-0.31,-0.18,14.87,-0.06,-3.38,-3.56,-3.47
Zack Moss,IND,RB,2,HOU,0,0,0,13.32,60.63,0.31,0.81,5.69,0.04,0,0,0,18,88,0,4,19,0,8.73,9.54,9.14,10.7,14.7,12.7,0,0,0,4.68,27.37,-0.31,3.19,13.31,-0.04,1.97,5.16,3.56
Isiah Pacheco,KC,RB,2,JAC,0,0,0,11.34,50.87,0.37,0.99,7.34,0.05,0,0,0,12,70,0,1,0,0,8.34,9.33,8.83,7,8,7.5,0,0,0,0.66,19.13,-0.37,0.01,-7.34,-0.05,-1.34,-1.33,-1.33
Justice Hill,BAL,RB,2,CIN,0,0,0,10.62,47.06,0.29,0.85,5.36,0.04,0,0,0,11,41,0,3,12,0,7.22,8.07,7.64,5.3,8.3,6.8,0,0,0,0.38,-6.06,-0.29,2.15,6.64,-0.04,-1.92,0.23,-0.84
Roschon Johnson,CHI,RB,2,TB,0,0,0,9.15,41.44,0.22,1.52,10.26,0.08,0,0,0,4,32,0,2,10,0,6.97,8.49,7.73,4.2,6.2,5.2,0,0,0,-5.15,-9.44,-0.22,0.48,-0.26,-0.08,-2.77,-2.29,-2.53
Devin Singletary,HOU,RB,2,IND,0,0,0,8.45,38.52,0.21,1.79,11.83,0.07,0,0,0,4,14,0,1,10,0,6.72,8.51,7.62,2.4,3.4,2.9,0,0,0,-4.45,-24.52,-0.21,-0.79,-1.83,-0.07,-4.32,-5.11,-4.72
Gus Edwards,BAL,RB,2,CIN,0,0,0,9.71,46.4,0.25,0.43,2.98,0.02,0,0,0,10,62,0,0,0,0,6.56,6.99,6.78,6.2,6.2,6.2,0,0,0,0.29,15.6,-0.25,-0.43,-2.98,-0.02,-0.36,-0.79,-0.57
Patrick Taylor,GB,RB,2,ATL,0,0,0,7.88,33.34,0.16,0.88,6.54,0.04,0,0,0,1,1,0,0,0,0,5.19,6.07,5.63,0.1,0.1,0.1,0,0,0,-6.88,-32.34,-0.16,-0.88,-6.54,-0.04,-5.09,-5.97,-5.53
Isaiah Spiller,LAC,RB,2,TEN,0,0,0,7.35,29.47,0.14,1.24,8.83,0.07,0,0,0,1,3,0,0,0,0,5.09,6.33,5.71,0.3,0.3,0.3,0,0,0,-6.35,-26.47,-0.14,-1.24,-8.83,-0.07,-4.79,-6.03,-5.41
Jerick McKinnon,KC,RB,2,JAC,0,0,0,3.4,13.71,0.09,2.25,18.38,0.13,0,0,0,1,-2,0,3,24,0,4.53,6.78,5.66,2.2,5.2,3.7,0,0,0,-2.4,-15.71,-0.09,0.75,5.62,-0.13,-2.33,-1.58,-1.96
Tyjae Spears,TEN,RB,2,LAC,0,0,0,4.98,22.13,0.12,1.4,10.56,0.07,0,0,0,8,49,0,2,6,0,4.41,5.81,5.11,5.5,7.5,6.5,0,0,0,3.02,26.87,-0.12,0.6,-4.56,-0.07,1.09,1.69,1.39
Sean Tucker,TB,RB,2,CHI,0,0,0,4.79,22.14,0.14,1.23,9.03,0.05,0,0,0,8,7,0,0,0,0,4.26,5.49,4.88,0.7,0.7,0.7,0,0,0,3.21,-15.14,-0.14,-1.23,-9.03,-0.05,-3.56,-4.79,-4.18
Zamir White,LV,RB,2,BUF,0,0,0,5.32,24.07,0.16,0.73,4.91,0.03,0,0,0,4,22,0,0,0,0,4.04,4.77,4.4,2.2,2.2,2.2,0,0,0,-1.32,-2.07,-0.16,-0.73,-4.91,-0.03,-1.84,-2.57,-2.2
Trayveon Williams,CIN,RB,2,BAL,0,0,0,4.85,20.34,0.11,0.96,6.67,0.05,0,0,0,0,0,0,2,4,0,3.66,4.62,4.14,0.4,2.4,1.4,0,0,0,-4.85,-20.34,-0.11,1.04,-2.67,-0.05,-3.26,-2.22,-2.74
Clyde Edwards-Helaire,KC,RB,2,JAC,0,0,0,4.54,19.07,0.14,0.71,5.37,0.04,0,0,0,1,0,0,2,17,0,3.52,4.23,3.88,1.7,3.7,2.7,0,0,0,-3.54,-19.07,-0.14,1.29,11.63,-0.04,-1.82,-0.53,-1.17
Zach Charbonnet,SEA,RB,2,DET,0,0,0,3.98,18.25,0.09,0.5,3.57,0.02,0,0,0,4,16,0,2,14,0,2.84,3.34,3.09,3,5,4,0,0,0,0.02,-2.25,-0.09,1.5,10.43,-0.02,0.16,1.66,0.91
Chase Edmonds,TB,RB,2,CHI,0,0,0,2.66,11.86,0.07,0.87,6.92,0.04,0,0,0,2,12,0,0,0,0,2.54,3.41,2.98,1.2,1.2,1.2,0,0,0,-0.66,0.14,-0.07,-0.87,-6.92,-0.04,-1.34,-2.21,-1.78
Damien Harris,BUF,RB,2,LV,0,0,0,2.38,10.94,0.09,0.54,3.87,0.03,0,0,0,7,33,0,0,0,0,2.2,2.74,2.47,3.3,3.3,3.3,0,0,0,4.62,22.06,-0.09,-0.54,-3.87,-0.03,1.1,0.56,0.83
