PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Gus Edwards,BAL,RB,5,PIT,0,0,0,11.8,57.32,0.29,0.41,3.13,0.02,0,0,0,12,48,0,0,0,0,7.9,8.31,8.1,4.8,4.8,4.8,0,0,0,0.2,-9.32,-0.29,-0.41,-3.13,-0.02,-3.1,-3.51,-3.31
Jaylen Warren,PIT,RB,5,BAL,0,0,0,8.69,38.74,0.22,2.8,19.49,0.09,0,0,0,9,40,0,3,39,0,7.68,10.48,9.08,7.9,10.9,9.4,0,0,0,0.31,1.26,-0.22,0.2,19.51,-0.09,0.22,0.42,0.32
Ezekiel Elliott,NE,RB,5,NO,0,0,0,10.98,45.29,0.37,0.99,5.62,0.04,0,0,0,8,21,0,4,17,0,7.55,8.54,8.04,3.8,7.8,5.8,0,0,0,-2.98,-24.29,-0.37,3.01,11.38,-0.04,-3.75,-0.74,-2.24
Chuba Hubbard,CAR,RB,5,DET,0,0,0,7.55,33.09,0.18,1.87,14.22,0.06,0,0,0,9,35,0,1,0,0,6.17,8.04,7.1,3.5,4.5,4,0,0,0,1.45,1.91,-0.18,-0.87,-14.22,-0.06,-2.67,-3.54,-3.11
Tyjae Spears,TEN,RB,5,IND,0,0,0,5.74,25.84,0.18,2.25,15.71,0.1,0,0,0,7,34,0,4,35,0,5.84,8.09,6.96,6.9,10.9,8.9,0,0,0,1.26,8.16,-0.18,1.75,19.29,-0.1,1.06,2.81,1.94
Kendre Miller,NO,RB,5,NE,0,0,0,6.01,24.8,0.12,0.78,5.59,0.03,0,0,0,12,37,0,4,53,0,3.94,4.72,4.33,9,13,11,0,0,0,5.99,12.2,-0.12,3.22,47.41,-0.03,5.06,8.28,6.67
Justice Hill,BAL,RB,5,PIT,0,0,0,4.85,21.91,0.13,0.52,3.56,0.03,0,0,0,7,32,0,4,13,0,3.51,4.03,3.77,4.5,8.5,6.5,0,0,0,2.15,10.09,-0.13,3.48,9.44,-0.03,0.99,4.47,2.73
Damien Harris,BUF,RB,5,JAC,0,0,0,4.32,19.39,0.16,0.54,3.71,0.02,0,0,0,3,13,0,0,0,0,3.39,3.93,3.66,1.3,1.3,1.3,0,0,0,-1.32,-6.39,-0.16,-0.54,-3.71,-0.02,-2.09,-2.63,-2.36
Latavius Murray,BUF,RB,5,JAC,0,0,0,3.27,14.04,0.12,1.1,7.22,0.05,0,0,0,2,6,0,1,1,0,3.15,4.25,3.7,0.7,1.7,1.2,0,0,0,-1.27,-8.04,-0.12,-0.1,-6.22,-0.05,-2.45,-2.55,-2.5
Zonovan Knight,DET,RB,5,CAR,0,0,0,4.52,18.94,0.15,0.25,1.79,0.02,0,0,0,0,0,0,1,8,0,3.09,3.34,3.22,0.8,1.8,1.3,0,0,0,-4.52,-18.94,-0.15,0.75,6.21,-0.02,-2.29,-1.54,-1.91
Zack Moss,IND,RB,5,TEN,0,0,0,4.27,18.04,0.09,0.53,3.9,0.03,0,0,0,23,165,0,2,30,0,2.91,3.44,3.18,19.5,21.5,20.5,0,0,0,18.73,146.96,-0.09,1.47,26.1,-0.03,16.59,18.06,17.32
Tank Bigsby,JAC,RB,5,BUF,0,0,0,2.85,12.98,0.1,0.51,3.46,0.02,0,0,0,3,8,0,0,0,0,2.36,2.87,2.62,0.8,0.8,0.8,0,0,0,0.15,-4.98,-0.1,-0.51,-3.46,-0.02,-1.56,-2.07,-1.81
Craig Reynolds,DET,RB,5,CAR,0,0,0,0.9,3.85,0.03,0.37,2.78,0.02,0,0,0,7,52,0,0,0,0,0.96,1.33,1.14,5.2,5.2,5.2,0,0,0,6.1,48.15,-0.03,-0.37,-2.78,-0.02,4.24,3.87,4.06
Cordarrelle Patterson,ATL,RB,5,HOU,0,0,0,0.65,3.11,0.03,0.39,3.19,0.02,0,0,0,0,0,0,1,7,0,0.93,1.32,1.12,0.7,1.7,1.2,0,0,0,-0.65,-3.11,-0.03,0.61,3.81,-0.02,-0.23,0.38,0.07
Eric Gray,NYG,RB,5,MIA,0,0,0,0.53,2.2,0.01,0.25,1.74,0.01,0,0,0,12,25,0,1,1,0,0.51,0.76,0.64,2.6,3.6,3.1,0,0,0,11.47,22.8,-0.01,0.75,-0.74,-0.01,2.09,2.84,2.46
Keith Smith,ATL,RB,5,HOU,0,0,0,0.33,1.4,0.01,0.2,1.4,0.01,0,0,0,0,0,0,1,28,0,0.4,0.6,0.5,2.8,3.8,3.3,0,0,0,-0.33,-1.4,-0.01,0.8,26.6,-0.01,2.4,3.2,2.8
Ty Montgomery,NE,RB,5,NO,0,0,0,0.3,1.3,0.01,0.21,1.44,0.01,0,0,0,1,0,0,1,5,0,0.39,0.6,0.5,0.5,1.5,1,0,0,0,0.7,-1.3,-0.01,0.79,3.56,-0.01,0.11,0.9,0.5
James Conner,ARI,RB,5,CIN,0,0,0,17.45,70.86,0.7,2.54,18.92,0.09,0,0,0,6,46,0,0,0,0,13.72,16.26,14.99,4.6,4.6,4.6,0,0,0,-11.45,-24.86,-0.7,-2.54,-18.92,-0.09,-9.12,-11.66,-10.39
Joe Mixon,CIN,RB,5,ARI,0,0,0,17.94,74.49,0.56,2.51,17.93,0.14,0,0,0,25,81,0,4,13,0,13.44,15.95,14.7,9.4,13.4,11.4,0,0,0,7.06,6.51,-0.56,1.49,-4.93,-0.14,-4.04,-2.55,-3.3
Kyren Williams,LA,RB,5,PHI,0,0,0,16.99,73.06,0.55,2.39,15.84,0.11,0,0,0,13,53,0,2,4,0,12.85,15.24,14.04,5.7,7.7,6.7,0,0,0,-3.99,-20.06,-0.55,-0.39,-11.84,-0.11,-7.15,-7.54,-7.34
D'Andre Swift,PHI,RB,5,LA,0,0,0,13.37,61.34,0.58,2.67,17.73,0.12,0,0,0,17,70,0,6,38,0,12.11,14.78,13.44,10.8,16.8,13.8,0,0,0,3.63,8.66,-0.58,3.33,20.27,-0.12,-1.31,2.02,0.36
Alexander Mattison,MIN,RB,5,KC,0,0,0,15.27,65.26,0.43,1.63,10.71,0.09,0,0,0,8,26,0,2,20,1,10.72,12.35,11.54,10.6,12.6,11.6,0,0,0,-7.27,-39.26,-0.43,0.37,9.29,0.91,-0.12,0.25,0.06
Isiah Pacheco,KC,RB,5,MIN,0,0,0,13.24,58.84,0.44,1.59,12.33,0.09,0,0,0,16,55,0,1,9,0,10.3,11.89,11.1,6.4,7.4,6.9,0,0,0,2.76,-3.84,-0.44,-0.59,-3.33,-0.09,-3.9,-4.49,-4.2
Samaje Perine,DEN,RB,5,NYJ,0,0,0,12.59,53.03,0.32,2.46,17.87,0.13,0,0,0,6,22,0,4,73,0,9.79,12.25,11.02,9.5,13.5,11.5,0,0,0,-6.59,-31.03,-0.32,1.54,55.13,-0.13,-0.29,1.25,0.48
Jaleel McLaughlin,DEN,RB,5,NYJ,0,0,0,9.65,43.7,0.3,1.82,13.14,0.1,0,0,0,9,68,0,3,21,1,8.08,9.9,8.99,14.9,17.9,16.4,0,0,0,-0.65,24.3,-0.3,1.18,7.86,0.9,6.82,8,7.41
Dalvin Cook,NYJ,RB,5,DEN,0,0,0,8.34,38.25,0.25,1.61,11.76,0.07,0,0,0,6,23,0,0,0,0,6.92,8.53,7.72,2.3,2.3,2.3,0,0,0,-2.34,-15.25,-0.25,-1.61,-11.76,-0.07,-4.62,-6.23,-5.42
Kenneth Gainwell,PHI,RB,5,LA,0,0,0,7.36,32.86,0.29,1.19,8.09,0.05,0,0,0,7,17,0,1,7,0,6.14,7.33,6.74,2.4,3.4,2.9,0,0,0,-0.36,-15.86,-0.29,-0.19,-1.09,-0.05,-3.74,-3.93,-3.83
Cam Akers,MIN,RB,5,KC,0,0,0,6.96,30.1,0.2,1.2,8.39,0.06,0,0,0,5,15,0,2,3,0,5.41,6.61,6.01,1.8,3.8,2.8,0,0,0,-1.96,-15.1,-0.2,0.8,-5.39,-0.06,-3.61,-2.81,-3.21
Jerick McKinnon,KC,RB,5,MIN,0,0,0,2.04,8.31,0.05,2.26,19.14,0.15,0,0,0,1,7,0,2,18,0,3.94,6.2,5.07,2.5,4.5,3.5,0,0,0,-1.04,-1.31,-0.05,-0.26,-1.14,-0.15,-1.44,-1.7,-1.57
