PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Isiah Pacheco,KC,RB,6,DEN,0,0,0,17.77,80.7,0.61,2.08,16.92,0.13,0,0,0,16,62,0,6,36,0,14.2,16.28,15.24,9.8,15.8,12.8,0,0,0,-1.77,-18.7,-0.61,3.92,19.08,-0.13,-4.4,-0.48,-2.44
Javonte Williams,DEN,RB,6,KC,0,0,0,9.02,38.98,0.19,2.47,17.41,0.1,0,0,0,11,54,0,0,0,0,7.38,9.85,8.62,5.4,5.4,5.4,0,0,0,1.98,15.02,-0.19,-2.47,-17.41,-0.1,-1.98,-4.45,-3.22
Jaleel McLaughlin,DEN,RB,6,KC,0,0,0,7.73,34.56,0.17,1.31,9.03,0.05,0,0,0,7,30,0,2,12,0,5.68,6.99,6.34,4.2,6.2,5.2,0,0,0,-0.73,-4.56,-0.17,0.69,2.97,-0.05,-1.48,-0.79,-1.13
Samaje Perine,DEN,RB,6,KC,0,0,0,3.35,13.59,0.06,2.41,19.56,0.1,0,0,0,0,0,0,2,16,0,4.28,6.69,5.48,1.6,3.6,2.6,0,0,0,-3.35,-13.59,-0.06,-0.41,-3.56,-0.1,-2.68,-3.09,-2.88
Jerick McKinnon,KC,RB,6,DEN,0,0,0,1.64,6.86,0.05,2.45,21.28,0.18,0,0,0,0,0,0,3,20,0,4.19,6.64,5.42,2,5,3.5,0,0,0,-1.64,-6.86,-0.05,0.55,-1.28,-0.18,-2.19,-1.64,-1.92
Clyde Edwards-Helaire,KC,RB,6,DEN,0,0,0,2.19,9.42,0.07,0.55,4.3,0.04,0,0,0,2,7,0,1,9,0,2.03,2.58,2.3,1.6,2.6,2.1,0,0,0,-0.19,-2.42,-0.07,0.45,4.7,-0.04,-0.43,0.02,-0.2
Michael Burton,DEN,RB,6,KC,0,0,0,0.26,1.02,0.01,0.23,1.67,0.01,0,0,0,2,2,0,0,0,0,0.39,0.62,0.5,0.2,0.2,0.2,0,0,0,1.74,0.98,-0.01,-0.23,-1.67,-0.01,-0.19,-0.42,-0.3
Christian McCaffrey,SF,RB,6,CLE,0,0,0,17.84,84.28,0.63,4.55,37.25,0.2,0,0,0,11,43,0,3,9,1,17.13,21.68,19.4,11.2,14.2,12.7,0,0,0,-6.84,-41.28,-0.63,-1.55,-28.25,0.8,-5.93,-7.48,-6.7
Raheem Mostert,MIA,RB,6,CAR,0,0,0,17.48,87.08,0.83,2.99,24.3,0.19,0,0,0,17,115,0,3,17,1,17.26,20.25,18.76,19.2,22.2,20.7,0,0,0,-0.48,27.92,-0.83,0.01,-7.3,0.81,1.94,1.95,1.94
Alvin Kamara,NO,RB,6,HOU,0,0,0,16.26,70.8,0.62,3.66,27.5,0.17,0,0,0,19,68,0,7,36,0,14.57,18.23,16.4,10.4,17.4,13.9,0,0,0,2.74,-2.8,-0.62,3.34,8.5,-0.17,-4.17,-0.83,-2.5
Travis Etienne,JAC,RB,6,IND,0,0,0,17.59,78.17,0.62,2.7,20.44,0.09,0,0,0,18,55,0,3,28,0,14.12,16.82,15.47,8.3,11.3,9.8,0,0,0,0.41,-23.17,-0.62,0.3,7.56,-0.09,-5.82,-5.52,-5.67
Bijan Robinson,ATL,RB,6,WSH,0,0,0,14.39,63.85,0.47,3.71,28.41,0.21,0,0,0,13,37,0,5,43,0,13.31,17.02,15.16,8,13,10.5,0,0,0,-1.39,-26.85,-0.47,1.29,14.59,-0.21,-5.31,-4.02,-4.67
Joe Mixon,CIN,RB,6,SEA,0,0,0,18.58,74.81,0.54,2.35,15.3,0.1,0,0,0,12,38,0,3,24,0,12.85,15.2,14.02,6.2,9.2,7.7,0,0,0,-6.58,-36.81,-0.54,0.65,8.7,-0.1,-6.65,-6,-6.32
Derrick Henry,TEN,RB,6,BAL,0,0,0,17.5,78.79,0.52,1.7,16.05,0.06,0,0,0,12,97,0,2,16,0,12.96,14.66,13.81,11.3,13.3,12.3,0,0,0,-5.5,18.21,-0.52,0.3,-0.05,-0.06,-1.66,-1.36,-1.51
Kenneth Walker,SEA,RB,6,CIN,0,0,0,15.45,67.63,0.49,2.01,14.25,0.07,0,0,0,19,62,0,3,27,0,11.55,13.56,12.56,8.9,11.9,10.4,0,0,0,3.55,-5.63,-0.49,0.99,12.75,-0.07,-2.65,-1.66,-2.15
D'Onta Foreman,CHI,RB,6,MIN,0,0,0,17.29,70.86,0.36,1.69,12.49,0.1,0,0,0,15,65,0,1,2,0,11.1,12.79,11.94,6.7,7.7,7.2,0,0,0,-2.29,-5.86,-0.36,-0.69,-10.49,-0.1,-4.4,-5.09,-4.74
Jonathan Taylor,IND,RB,6,JAC,0,0,0,14.04,68.65,0.46,1.46,11.47,0.05,0,0,0,8,19,0,5,46,0,11.07,12.53,11.8,6.5,11.5,9,0,0,0,-6.04,-49.65,-0.46,3.54,34.53,-0.05,-4.57,-1.03,-2.8
Alexander Mattison,MIN,RB,6,CHI,0,0,0,13.68,59.1,0.36,2.37,18.63,0.12,0,0,0,18,44,0,4,28,0,10.65,13.02,11.84,7.2,11.2,9.2,0,0,0,4.32,-15.1,-0.36,1.63,9.37,-0.12,-3.45,-1.82,-2.64
Dameon Pierce,HOU,RB,6,NO,0,0,0,16.98,70.85,0.38,1.52,10.72,0.07,0,0,0,13,34,0,0,0,0,10.86,12.38,11.62,3.4,3.4,3.4,0,0,0,-3.98,-36.85,-0.38,-1.52,-10.72,-0.07,-7.46,-8.98,-8.22
Brian Robinson,WSH,RB,6,ATL,0,0,0,17.1,71.86,0.42,1.01,7.4,0.04,0,0,0,10,31,0,2,25,1,10.69,11.7,11.2,11.6,13.6,12.6,0,0,0,-7.1,-40.86,-0.42,0.99,17.6,0.96,0.91,1.9,1.4
Chuba Hubbard,CAR,RB,6,MIA,0,0,0,15.28,61.52,0.31,2.56,18.59,0.07,0,0,0,19,88,0,1,2,0,10.29,12.85,11.57,9,10,9.5,0,0,0,3.72,26.48,-0.31,-1.56,-16.59,-0.07,-1.29,-2.85,-2.07
Gus Edwards,BAL,RB,6,TEN,0,0,0,13.23,60.79,0.38,0.45,2.99,0.02,0,0,0,16,41,0,1,12,0,8.78,9.23,9,5.3,6.3,5.8,0,0,0,2.77,-19.79,-0.38,0.55,9.01,-0.02,-3.48,-2.93,-3.2
Jerome Ford,CLE,RB,6,SF,0,0,0,12.52,51.34,0.24,1.62,10.43,0.03,0,0,0,17,84,0,2,7,0,7.8,9.42,8.61,9.1,11.1,10.1,0,0,0,4.48,32.66,-0.24,0.38,-3.43,-0.03,1.3,1.68,1.49
Tyler Allgeier,ATL,RB,6,WSH,0,0,0,11.67,49.08,0.31,0.71,4.82,0.03,0,0,0,14,51,0,0,0,0,7.43,8.14,7.78,5.1,5.1,5.1,0,0,0,2.33,1.92,-0.31,-0.71,-4.82,-0.03,-2.33,-3.04,-2.69
Zack Moss,IND,RB,6,JAC,0,0,0,11.23,47.01,0.27,0.45,3.24,0.01,0,0,0,7,21,0,6,38,0,6.7,7.15,6.92,5.9,11.9,8.9,0,0,0,-4.23,-26.01,-0.27,5.55,34.76,-0.01,-0.8,4.75,1.98
Cam Akers,MIN,RB,6,CHI,0,0,0,8.08,33.79,0.22,1.12,8.73,0.05,0,0,0,1,8,0,1,7,0,5.87,6.99,6.43,1.5,2.5,2,0,0,0,-7.08,-25.79,-0.22,-0.12,-1.73,-0.05,-4.37,-4.49,-4.43
Tyjae Spears,TEN,RB,6,BAL,0,0,0,6.73,27.51,0.15,2.52,17.11,0.08,0,0,0,4,15,0,1,48,0,5.84,8.36,7.1,6.3,7.3,6.8,0,0,0,-2.73,-12.51,-0.15,-1.52,30.89,-0.08,0.46,-1.06,-0.3
Kendre Miller,NO,RB,6,HOU,0,0,0,6.73,27.51,0.25,1.36,9.45,0.07,0,0,0,2,-1,0,1,13,0,5.62,6.98,6.3,1.2,2.2,1.7,0,0,0,-4.73,-28.51,-0.25,-0.36,3.55,-0.07,-4.42,-4.78,-4.6
Salvon Ahmed,MIA,RB,6,CAR,0,0,0,6.29,25.35,0.28,0.97,7.01,0.08,0,0,0,6,23,0,3,11,0,5.4,6.37,5.89,3.4,6.4,4.9,0,0,0,-0.29,-2.35,-0.28,2.03,3.99,-0.08,-2,0.03,-0.99
Devin Singletary,HOU,RB,6,NO,0,0,0,7.64,34.73,0.17,1.04,6.96,0.04,0,0,0,12,58,0,1,4,0,5.43,6.47,5.95,6.2,7.2,6.7,0,0,0,4.36,23.27,-0.17,-0.04,-2.96,-0.04,0.77,0.73,0.75
Justice Hill,BAL,RB,6,TEN,0,0,0,7,28.29,0.21,1.24,7.33,0.05,0,0,0,8,35,0,3,0,0,5.12,6.36,5.74,3.5,6.5,5,0,0,0,1,6.71,-0.21,1.76,-7.33,-0.05,-1.62,0.14,-0.74
Kareem Hunt,CLE,RB,6,SF,0,0,0,6.92,28.84,0.16,0.99,6.44,0.02,0,0,0,12,47,0,3,24,0,4.61,5.6,5.11,7.1,10.1,8.6,0,0,0,5.08,18.16,-0.16,2.01,17.56,-0.02,2.49,4.5,3.49
Zach Charbonnet,SEA,RB,6,CIN,0,0,0,6.31,25.84,0.15,1.13,7.34,0.04,0,0,0,2,5,0,2,14,0,4.46,5.59,5.03,1.9,3.9,2.9,0,0,0,-4.31,-20.84,-0.15,0.87,6.66,-0.04,-2.56,-1.69,-2.13
Antonio Gibson,WSH,RB,6,ATL,0,0,0,3.29,13.63,0.1,2.57,18.32,0.1,0,0,0,3,15,0,1,1,1,4.4,6.97,5.68,7.6,8.6,8.1,0,0,0,-0.29,1.37,-0.1,-1.57,-17.32,0.9,3.2,1.63,2.41
Cordarrelle Patterson,ATL,RB,6,WSH,0,0,0,2.4,10.86,0.1,1.43,11.88,0.09,0,0,0,1,0,0,1,6,0,3.41,4.84,4.12,0.6,1.6,1.1,0,0,0,-1.4,-10.86,-0.1,-0.43,-5.88,-0.09,-2.81,-3.24,-3.02
Raheem Blackshear,CAR,RB,6,MIA,0,0,0,4.33,16.89,0.12,1.13,8.1,0.04,0,0,0,5,18,0,1,4,0,3.46,4.59,4.03,2.2,3.2,2.7,0,0,0,0.67,1.11,-0.12,-0.13,-4.1,-0.04,-1.26,-1.39,-1.33
Darrynton Evans,CHI,RB,6,MIN,0,0,0,3.09,12.17,0.07,0.89,6.16,0.05,0,0,0,9,32,0,1,2,0,2.55,3.44,2.99,3.4,4.4,3.9,0,0,0,5.91,19.83,-0.07,0.11,-4.16,-0.05,0.85,0.96,0.91
Jordan Mason,SF,RB,6,CLE,0,0,0,2.92,12.33,0.09,0.53,3.66,0.03,0,0,0,5,27,0,0,0,0,2.32,2.85,2.58,2.7,2.7,2.7,0,0,0,2.08,14.67,-0.09,-0.53,-3.66,-0.03,0.38,-0.15,0.12
Tank Bigsby,JAC,RB,6,IND,0,0,0,2.71,10.91,0.09,0.27,1.7,0.01,0,0,0,3,2,0,1,6,0,1.86,2.13,2,0.8,1.8,1.3,0,0,0,0.29,-8.91,-0.09,0.73,4.3,-0.01,-1.06,-0.33,-0.7
Trayveon Williams,CIN,RB,6,SEA,0,0,0,2.06,8.38,0.06,0.26,1.7,0.01,0,0,0,0,0,0,2,3,0,1.43,1.69,1.56,0.3,2.3,1.3,0,0,0,-2.06,-8.38,-0.06,1.74,1.3,-0.01,-1.13,0.61,-0.26
Kyle Juszczyk,SF,RB,6,CLE,0,0,0,0.62,2.5,0.02,0.54,5.14,0.03,0,0,0,0,0,0,1,9,0,1.06,1.6,1.33,0.9,1.9,1.4,0,0,0,-0.62,-2.5,-0.02,0.46,3.86,-0.03,-0.16,0.3,0.07
D'Ernest Johnson,JAC,RB,6,IND,0,0,0,0.54,2.24,0.02,0.53,3.56,0.02,0,0,0,1,19,0,0,0,0,0.82,1.35,1.08,1.9,1.9,1.9,0,0,0,0.46,16.76,-0.02,-0.53,-3.56,-0.02,1.08,0.55,0.82
Chase Brown,CIN,RB,6,SEA,0,0,0,1.03,4.13,0.03,0.26,1.67,0.01,0,0,0,1,4,0,1,8,0,0.82,1.08,0.95,1.2,2.2,1.7,0,0,0,-0.03,-0.13,-0.03,0.74,6.33,-0.01,0.38,1.12,0.75
Khari Blasingame,CHI,RB,6,MIN,0,0,0,0.62,2.42,0.02,0.5,3.39,0.03,0,0,0,0,0,0,1,1,0,0.88,1.38,1.13,0.1,1.1,0.6,0,0,0,-0.62,-2.42,-0.02,0.5,-2.39,-0.03,-0.78,-0.28,-0.53
Mike Boone,HOU,RB,6,NO,0,0,0,0.57,2.34,0.02,0.46,3.25,0.03,0,0,0,1,11,0,0,0,0,0.86,1.32,1.09,1.1,1.1,1.1,0,0,0,0.43,8.66,-0.02,-0.46,-3.25,-0.03,0.24,-0.22,0.01
Chris Brooks,MIA,RB,6,CAR,0,0,0,0.56,2.29,0.03,0.24,1.71,0.02,0,0,0,6,28,0,0,0,0,0.7,0.94,0.82,2.8,2.8,2.8,0,0,0,5.44,25.71,-0.03,-0.24,-1.71,-0.02,2.1,1.86,1.98
Patrick Ricard,BAL,RB,6,TEN,0,0,0,0.31,1.2,0.01,0.22,1.37,0.01,0,0,0,0,0,0,1,3,0,0.38,0.6,0.49,0.3,1.3,0.8,0,0,0,-0.31,-1.2,-0.01,0.78,1.63,-0.01,-0.08,0.7,0.31
David Montgomery,DET,RB,6,TB,0,0,0,19.89,82.28,0.67,2.43,18.61,0.11,0,0,0,6,14,0,1,19,0,14.77,17.2,15.98,3.3,4.3,3.8,0,0,0,-13.89,-68.28,-0.67,-1.43,0.39,-0.11,-11.47,-12.9,-12.18
Josh Jacobs,LV,RB,6,NE,0,0,0,19.18,81.21,0.55,3.01,22.38,0.11,0,0,0,25,77,0,2,16,0,14.32,17.33,15.82,9.3,11.3,10.3,0,0,0,5.82,-4.21,-0.55,-1.01,-6.38,-0.11,-5.02,-6.03,-5.52
Kyren Williams,LA,RB,6,ARI,0,0,0,17.94,77.36,0.65,2.29,16.13,0.14,0,0,0,20,158,0,0,0,0,14.09,16.38,15.24,15.8,15.8,15.8,0,0,0,2.06,80.64,-0.65,-2.29,-16.13,-0.14,1.71,-0.58,0.57
D'Andre Swift,PHI,RB,6,NYJ,0,0,0,13.96,63.32,0.49,2.97,19.54,0.12,0,0,0,10,18,0,8,40,1,11.95,14.92,13.43,11.8,19.8,15.8,0,0,0,-3.96,-45.32,-0.49,5.03,20.46,0.88,-0.15,4.88,2.37
Rhamondre Stevenson,NE,RB,6,LV,0,0,0,13.37,58.93,0.35,2.55,16.58,0.08,0,0,0,10,46,0,5,24,0,10.13,12.68,11.4,7,12,9.5,0,0,0,-3.37,-12.93,-0.35,2.45,7.42,-0.08,-3.13,-0.68,-1.91
Rachaad White,TB,RB,6,DET,0,0,0,14.21,58.49,0.36,2.33,15.01,0.07,0,0,0,7,26,0,3,12,0,9.93,12.26,11.1,3.8,6.8,5.3,0,0,0,-7.21,-32.49,-0.36,0.67,-3.01,-0.07,-6.13,-5.46,-5.79
Ezekiel Elliott,NE,RB,6,LV,0,0,0,11.5,46.88,0.36,1.78,10.69,0.06,0,0,0,7,34,0,1,15,0,8.28,10.06,9.17,4.9,5.9,5.4,0,0,0,-4.5,-12.88,-0.36,-0.78,4.31,-0.06,-3.38,-4.16,-3.77
Keaontay Ingram,ARI,RB,6,LA,0,0,0,11.18,43.78,0.43,1.32,9.35,0.05,0,0,0,10,40,0,2,11,0,8.19,9.51,8.85,5.1,7.1,6.1,0,0,0,-1.18,-3.78,-0.43,0.68,1.65,-0.05,-3.09,-2.41,-2.75
