PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Calvin Austin,PIT,WR,3,LV,0,0,0,0,0,0,2.86,32.24,0.17,0,0,0,0,0,0,2,72,1,4.24,7.1,5.67,13.2,15.2,14.2,0,0,0,0,0,0,-0.86,39.76,0.83,8.96,8.1,8.53
DeAndre Carter,LV,WR,3,PIT,0,0,0,0,0,0,1.31,17.11,0.09,0,0,0,0,0,0,1,16,0,2.25,3.56,2.9,1.6,2.6,2.1,0,0,0,0,0,0,-0.31,-1.11,-0.09,-0.65,-0.96,-0.81
Hunter Renfrow,LV,WR,3,PIT,0,0,0,0,0,0,1.37,15.87,0.09,0,0,0,0,0,0,2,17,0,2.13,3.5,2.82,1.7,3.7,2.7,0,0,0,0,0,0,0.63,1.13,-0.09,-0.43,0.2,-0.11
Ja'Marr Chase,CIN,WR,3,LA,0,0,0,0.51,3.04,0.03,6.21,76.19,0.55,0,0,0,0,0,0,12,141,0,11.4,17.61,14.5,14.1,26.1,20.1,0,0,0,-0.51,-3.04,-0.03,5.79,64.81,-0.55,2.7,8.49,5.6
AJ Brown,PHI,WR,3,TB,0,0,0,0,0,0,5.27,77.3,0.46,0,0,0,0,0,0,9,131,0,10.49,15.76,13.12,13.1,22.1,17.6,0,0,0,0,0,0,3.73,53.7,-0.46,2.61,6.34,4.48
Puka Nacua,LA,WR,3,CIN,0,0,0,0.69,4.01,0.03,5.99,69.97,0.44,0,0,0,0,0,0,5,72,0,10.22,16.21,13.22,7.2,12.2,9.7,0,0,0,-0.69,-4.01,-0.03,-0.99,2.03,-0.44,-3.02,-4.01,-3.52
Tee Higgins,CIN,WR,3,LA,0,0,0,0,0,0,5.48,69.64,0.43,0,0,0,0,0,0,2,21,0,9.54,15.02,12.28,2.1,4.1,3.1,0,0,0,0,0,0,-3.48,-48.64,-0.43,-7.44,-10.92,-9.18
Mike Evans,TB,WR,3,PHI,0,0,0,0,0,0,4.81,67.41,0.43,0,0,0,0,0,0,5,60,1,9.32,14.13,11.72,12,17,14.5,0,0,0,0,0,0,0.19,-7.41,0.57,2.68,2.87,2.78
DeVonta Smith,PHI,WR,3,TB,0,0,0,0,0,0,5.4,66.97,0.43,0,0,0,0,0,0,4,28,0,9.28,14.68,11.98,2.8,6.8,4.8,0,0,0,0,0,0,-1.4,-38.97,-0.43,-6.48,-7.88,-7.18
Tutu Atwell,LA,WR,3,CIN,0,0,0,0.69,3.99,0.03,4.03,50.76,0.3,0,0,0,1,22,0,4,50,1,7.45,11.48,9.46,13.2,17.2,15.2,0,0,0,0.31,18.01,-0.03,-0.03,-0.76,0.7,5.75,5.72,5.74
