model,position,preprocessing,accuracy,f1,recall,precision,avg accuracy across models,model
logreg (L2),rb,minmax,0.5801526718,0.5979532164,0.6244274809,0.5736325386,,
logreg (L2),rb,none,0.5809160305,0.5966201323,0.6198473282,0.5750708215,,
logreg (L2),wr,yeo-johnson,0.5090168703,0.5093023256,0.509895227,0.5087108014,,
logreg (L2),wr,standard,0.5095986038,0.4747663551,0.4435389988,0.5107238606,,
logreg (L2),wr,minmax,0.5130890052,0.4842883549,0.4575087311,0.5143979058,,
logreg (L2),wr,none,0.5148342059,0.482630273,0.4528521537,0.5166002656,,
logreg (L2),te,yeo-johnson,0.5404814004,0.5414847162,0.5426695842,0.5403050109,,
logreg (L2),te,standard,0.5404814004,0.4915254237,0.4442013129,0.5501355014,,
logreg (L2),te,minmax,0.5437636761,0.4969843185,0.4507658643,0.5537634409,,
logreg (L2),te,none,0.5426695842,0.488997555,0.4376367615,0.5540166205,,
Random forests,rb,yeo-johnson,0.5885496183,0.6474820144,0.7557251908,0.5663615561,0.561556858,
Random forests,rb,standard,0.5877862595,0.6470588235,0.7557251908,0.5657142857,,
Random forests,rb,minmax,0.5877862595,0.6470588235,0.7557251908,0.5657142857,,
Random forests,rb,none,0.5877862595,0.6470588235,0.7557251908,0.5657142857,,
Random forests,wr,yeo-johnson,0.5445026178,0.607518797,0.7054714785,0.5334507042,,
Random forests,wr,standard,0.5433391507,0.6069103655,0.7054714785,0.532513181,,
Random forests,wr,minmax,0.5433391507,0.6069103655,0.7054714785,0.532513181,,
Random forests,wr,none,0.5433391507,0.6069103655,0.7054714785,0.532513181,,
Random forests,te,yeo-johnson,0.5547045952,0.6029268293,0.6761487965,0.5440140845,,
Random forests,te,standard,0.5525164114,0.6009756098,0.6739606127,0.5422535211,,
Random forests,te,minmax,0.5525164114,0.6009756098,0.6739606127,0.5422535211,,
Random forests,te,none,0.5525164114,0.6009756098,0.6739606127,0.5422535211,,
logreg (Elastic),rb,yeo-johnson,0.5877862595,0.6103896104,0.6458015267,0.5786593707,0.545044021,
logreg (Elastic),rb,standard,0.5816793893,0.597650514,0.6213740458,0.5756718529,,
logreg (Elastic),rb,minmax,0.5786259542,0.5959004392,0.6213740458,0.5724331927,,
logreg (Elastic),rb,none,0.572519084,0.5936139332,0.6244274809,0.5656984786,,
logreg (Elastic),wr,yeo-johnson,0.506689936,0.5058275058,0.5052386496,0.5064177363,,
logreg (Elastic),wr,standard,0.5101803374,0.4757160648,0.4447031432,0.5113788487,,
logreg (Elastic),wr,minmax,0.5148342059,0.4877149877,0.4621653085,0.5162548765,,
logreg (Elastic),wr,none,0.5142524724,0.4936325045,0.473806752,0.5151898734,,
logreg (Elastic),te,yeo-johnson,0.5393873085,0.5398907104,0.5404814004,0.53930131,,
logreg (Elastic),te,standard,0.5415754923,0.495788207,0.4507658643,0.550802139,,
logreg (Elastic),te,minmax,0.5437636761,0.4945454545,0.4463894967,0.5543478261,,
logreg (Elastic),te,none,0.5492341357,0.5071770335,0.4638949672,0.5593667546,,
perceptron,wr,none,0.5916230366,0.5755743652,0.5541327125,0.5987421384,0.5470113663,
perceptron,wr,yeo-johnson,0.5357766143,0.5092250923,0.4819557625,0.5397653194,,
perceptron,wr,standard,0.5386852821,0.534351145,0.529685681,0.5390995261,,
perceptron,wr,minmax,0.4944735311,0.2847736626,0.2013969732,0.4859550562,,
perceptron,te,none,0.5842450766,0.5691609977,0.5492341357,0.5905882353,,
perceptron,te,yeo-johnson,0.5492341357,0.5598290598,0.5733041575,0.5469728601,,
perceptron,te,standard,0.5284463895,0.5216426193,0.5142231947,0.5292792793,,
perceptron,te,minmax,0.5317286652,0.5114155251,0.4901531729,0.5346062053,,
perceptron,rb,yeo-johnson,0.5687022901,0.5568627451,0.5419847328,0.5725806452,,
perceptron,rb,standard,0.5564885496,0.5561497326,0.5557251908,0.5565749235,,
perceptron,rb,minmax,0.5053435115,0.6596638655,0.958778626,0.5028022418,,
perceptron,rb,none,0.579389313,0.5531224655,0.520610687,0.5899653979,,
NN,wr,yeo-johnson,0.5223967423,0.5456557831,0.5739231665,0.5200421941,0.5508826736,
NN,wr,standard,0.5311227458,0.5680600214,0.6169965076,0.5263157895,,
NN,wr,minmax,0.5119255381,0.4062278839,0.3341094296,0.5180505415,,
NN,wr,none,0.5287958115,0.6116970278,0.7427240978,0.5199674002,,
NN,te,yeo-johnson,0.5514223195,0.5824847251,0.6258205689,0.5447619048,,
NN,te,standard,0.5426695842,0.5609243697,0.5842450766,0.5393939394,,
NN,te,minmax,0.5667396061,0.5676855895,0.5689277899,0.5664488017,,
NN,te,none,0.5371991247,0.6406117247,0.8249452954,0.5236111111,,
NN,rb,yeo-johnson,0.593129771,0.5915708812,0.5893129771,0.5938461538,,
NN,rb,standard,0.5839694656,0.6153846154,0.665648855,0.5721784777,,
NN,rb,minmax,0.5755725191,0.6028571429,0.6442748092,0.566442953,,
NN,rb,none,0.565648855,0.6062283737,0.6687022901,0.5544303797,,
