Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Jacksonville Jaguars,JAX,DST,16,103,55,113,21,12,0,7,1,262,12.7,203
2,Baltimore Ravens,BAL,DST,16,96,41,98,22,12,0,5,2,291,11.6,185
3,Los Angeles Rams,LAR,DST,16,82,48,100,18,11,2,3,3,317,10.2,164
4,Philadelphia Eagles,PHI,DST,16,99,38,115,19,12,0,5,0,283,10,160
5,Los Angeles Chargers,LAC,DST,16,93,43,85,18,9,0,3,1,262,9.9,158
6,Detroit Lions,DET,DST,16,84,35,95,19,13,0,5,2,346,9.6,153
7,New Orleans Saints,NO,DST,16,88,42,83,20,5,0,3,2,314,9.2,148
8,Carolina Panthers,CAR,DST,16,90,50,102,10,11,0,1,2,315,8.5,136
8,Chicago Bears,CHI,DST,16,78,42,97,8,14,1,3,2,306,8.5,136
8,Seattle Seahawks,SEA,DST,16,92,39,112,14,9,2,4,1,322,8.5,136
11,Pittsburgh Steelers,PIT,DST,16,105,56,106,16,6,1,0,2,296,8.4,135
12,Kansas City Chiefs,KC,DST,16,86,31,69,16,10,0,3,1,331,7.7,123
13,New England Patriots,NE,DST,16,73,42,93,12,5,2,0,1,278,7.4,119
14,Minnesota Vikings,MIN,DST,16,82,37,85,14,5,1,1,0,250,7.3,117
15,Arizona Cardinals,ARI,DST,16,94,37,100,15,6,0,2,0,335,7,112
16,Tennessee Titans,TEN,DST,16,79,43,91,12,9,0,1,0,332,6.9,111
16,Dallas Cowboys,DAL,DST,16,100,38,98,10,10,0,1,1,302,6.9,111
16,Washington Commanders,WAS,DST,16,78,42,107,16,7,0,2,0,362,6.9,111
19,Buffalo Bills,BUF,DST,16,79,27,69,18,8,0,3,0,347,6.6,106
20,Denver Broncos,DEN,DST,16,82,33,78,10,7,0,4,0,354,6.5,104
21,Tampa Bay Buccaneers,TB,DST,16,71,22,74,13,13,0,4,0,376,6.4,102
22,Atlanta Falcons,ATL,DST,16,86,39,81,8,8,0,2,0,303,6.2,99
23,Cincinnati Bengals,CIN,DST,16,99,41,98,11,2,0,3,0,343,5.9,95
24,Green Bay Packers,GB,DST,16,101,37,83,11,10,0,2,0,372,5.7,91
25,Miami Dolphins,MIA,DST,16,77,30,89,9,6,2,3,0,369,5.4,87
25,New York Giants,NYG,DST,16,79,27,67,13,6,1,2,0,382,5.4,87
27,Indianapolis Colts,IND,DST,16,79,26,75,13,7,2,1,0,366,5.2,84
28,Houston Texans,HOU,DST,16,95,32,74,11,5,1,4,0,416,5.2,83
29,San Francisco 49ers,SF,DST,16,89,30,101,10,10,0,1,0,375,4.9,79
30,Cleveland Browns,CLE,DST,16,108,34,74,7,6,0,1,0,384,4.4,71
30,New York Jets,NYJ,DST,16,81,28,94,11,9,0,0,0,368,4.4,71
32,Las Vegas Raiders,LV,DST,16,85,31,74,5,9,0,0,0,355,4.1,66
