Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGame,FantasyPoints
1,New England Patriots,NE,DST,11,ATL,6,4,12,4,0,0,1,0,0,28,28
2,Dallas Cowboys,DAL,DST,16,WAS,0,5,0,2,0,0,1,1,8,25,25
2,Miami Dolphins,MIA,DST,16,NO,6,8,14,2,0,0,1,0,3,25,25
4,Kansas City Chiefs,KC,DST,14,LV,0,4,11,1,4,0,1,0,9,24,24
5,Buffalo Bills,BUF,DST,4,HOU,4,3,3,4,1,0,0,0,0,23,23
5,Tampa Bay Buccaneers,TB,DST,7,CHI,5,4,6,3,3,0,0,0,3,23,23
7,Buffalo Bills,BUF,DST,2,MIA,9,6,11,1,2,0,0,0,0,22,22
8,Dallas Cowboys,DAL,DST,10,ATL,3,2,5,3,0,0,0,1,3,21,21
8,Miami Dolphins,MIA,DST,12,CAR,7,5,11,3,0,0,0,1,10,21,21
8,Tennessee Titans,TEN,DST,14,JAX,5,3,6,4,0,0,0,0,0,21,21
8,Philadelphia Eagles,PHI,DST,8,DET,7,6,12,0,1,0,1,0,6,21,21
8,Chicago Bears,CHI,DST,17,NYG,6,4,5,2,2,1,0,0,3,21,21
13,Arizona Cardinals,ARI,DST,3,JAX,5,3,7,2,3,0,1,0,19,20,20
13,New England Patriots,NE,DST,9,CAR,3,1,3,3,0,0,1,0,6,20,20
13,Los Angeles Chargers,LAC,DST,13,CIN,5,6,11,2,2,0,1,0,22,20,20
13,Dallas Cowboys,DAL,DST,14,WAS,4,5,9,1,3,0,1,0,14,20,20
13,Chicago Bears,CHI,DST,2,CIN,6,5,9,3,1,0,1,0,17,20,20
13,Miami Dolphins,MIA,DST,18,NE,4,2,3,1,2,0,2,0,24,20,20
19,Denver Broncos,DEN,DST,3,NYJ,6,5,9,2,0,0,0,0,0,19,19
19,New York Giants,NYG,DST,7,CAR,7,6,10,1,1,1,0,0,3,19,19
19,Cincinnati Bengals,CIN,DST,12,PIT,3,3,6,2,1,0,1,0,10,19,19
19,New England Patriots,NE,DST,2,NYJ,6,4,7,4,0,0,0,0,6,19,19
19,Tampa Bay Buccaneers,TB,DST,2,ATL,3,1,7,3,0,0,2,0,25,19,19
19,Washington Commanders,WAS,DST,18,NYG,4,3,10,2,1,0,1,0,7,19,19
25,New Orleans Saints,NO,DST,3,NE,6,2,11,3,0,0,1,0,13,18,18
25,Cleveland Browns,CLE,DST,9,CIN,4,5,12,2,1,0,1,0,16,18,18
25,Miami Dolphins,MIA,DST,10,BAL,5,4,7,1,1,0,1,0,10,18,18
25,Indianapolis Colts,IND,DST,13,HOU,4,4,11,1,1,0,0,0,0,18,18
