Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Arizona Cardinals,ARI,DST,16,82,36,104,19,23,2,6,1,307,11.6,186
2,Kansas City Chiefs,KC,DST,16,74,47,86,22,12,1,6,0,275,11.5,184
3,Denver Broncos,DEN,DST,16,75,52,121,14,16,1,5,1,276,11.3,181
4,Carolina Panthers,CAR,DST,16,77,44,106,24,17,0,4,0,298,10.7,171
5,Seattle Seahawks,SEA,DST,16,66,37,103,14,11,0,3,2,263,10.4,166
6,Houston Texans,HOU,DST,16,80,45,106,14,15,0,3,0,295,9.8,157
7,Pittsburgh Steelers,PIT,DST,16,75,48,96,17,14,0,2,1,319,9.2,147
8,Minnesota Vikings,MIN,DST,16,76,43,111,13,11,0,3,3,300,8.9,143
9,Cincinnati Bengals,CIN,DST,16,69,42,109,21,7,0,1,0,255,8.7,139
9,New England Patriots,NE,DST,16,58,49,84,12,13,1,2,0,303,8.7,139
11,Los Angeles Rams,LAR,DST,16,98,41,113,13,13,1,3,1,312,8.6,138
12,Philadelphia Eagles,PHI,DST,16,75,37,81,15,13,1,4,3,412,8.4,134
13,Washington Commanders,WAS,DST,16,60,38,77,11,18,1,2,3,363,8.2,132
14,Indianapolis Colts,IND,DST,16,73,35,85,17,12,1,5,0,402,8.1,129
15,Green Bay Packers,GB,DST,16,85,43,94,16,7,0,2,0,303,7.6,121
16,New York Jets,NYJ,DST,16,58,39,116,18,12,0,0,0,302,7.2,116
17,New York Giants,NYG,DST,16,46,23,85,15,13,1,4,2,424,6.9,111
18,Tampa Bay Buccaneers,TB,DST,16,73,38,84,11,14,0,3,0,399,6.6,106
19,Jacksonville Jaguars,JAX,DST,16,79,36,76,9,15,0,3,1,406,6.6,105
19,Las Vegas Raiders,LV,DST,16,77,38,78,14,13,2,1,0,377,6.6,105
21,Detroit Lions,DET,DST,16,86,43,104,9,11,2,2,0,394,6.3,101
22,Miami Dolphins,MIA,DST,16,80,31,76,13,6,0,3,1,369,6.2,100
23,Cleveland Browns,CLE,DST,16,56,29,71,11,17,0,2,1,420,6.1,98
23,Buffalo Bills,BUF,DST,16,44,21,73,17,8,1,3,0,347,6.1,98
25,Baltimore Ravens,BAL,DST,16,74,37,94,6,9,0,2,2,371,5.9,95
26,Atlanta Falcons,ATL,DST,16,45,19,72,15,9,0,3,0,339,5.9,94
27,Los Angeles Chargers,LAC,DST,16,69,32,75,11,11,0,2,0,366,5.8,93
28,Tennessee Titans,TEN,DST,16,63,39,71,11,9,0,2,0,393,5.6,89
29,Dallas Cowboys,DAL,DST,16,75,31,72,8,6,1,1,1,344,5.2,83
30,New Orleans Saints,NO,DST,16,55,31,65,9,14,0,1,2,464,4.9,78
31,Chicago Bears,CHI,DST,16,56,35,92,8,10,0,0,0,373,4.8,77
32,San Francisco 49ers,SF,DST,16,63,28,77,9,4,0,1,0,371,4.1,66
