Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Chicago Bears,CHI,DST,16,79,41,64,24,20,0,9,1,261,13.9,222
2,Denver Broncos,DEN,DST,16,83,52,89,16,8,2,6,2,275,11.4,182
2,Seattle Seahawks,SEA,DST,16,56,36,80,18,13,0,3,3,231,11.4,182
4,New England Patriots,NE,DST,16,71,37,66,20,21,1,5,2,329,11.2,179
5,Cincinnati Bengals,CIN,DST,16,85,51,89,14,16,0,3,1,296,10.2,163
5,Los Angeles Chargers,LAC,DST,16,74,38,70,14,14,1,7,2,332,10.2,163
7,San Francisco 49ers,SF,DST,16,67,38,69,14,11,1,3,0,265,9.4,151
8,Houston Texans,HOU,DST,16,88,44,105,15,14,1,3,2,329,9.4,150
9,Los Angeles Rams,LAR,DST,16,96,52,86,17,4,1,5,0,330,9.2,147
10,Arizona Cardinals,ARI,DST,16,69,38,83,22,11,0,3,1,307,9.1,146
11,New York Giants,NYG,DST,16,69,33,63,21,14,0,2,1,332,8.6,138
12,Tennessee Titans,TEN,DST,16,81,39,84,19,5,1,5,4,441,8.6,137
13,Atlanta Falcons,ATL,DST,16,70,29,63,20,11,0,2,0,291,8.3,133
13,Baltimore Ravens,BAL,DST,16,80,37,85,13,12,0,2,3,324,8.3,133
15,Minnesota Vikings,MIN,DST,16,75,44,82,10,12,0,3,2,342,8.2,131
16,Green Bay Packers,GB,DST,16,73,47,86,18,5,0,2,2,336,7.9,126
17,Cleveland Browns,CLE,DST,16,59,38,65,17,12,0,2,1,356,7.7,123
18,New York Jets,NYJ,DST,16,67,30,63,11,12,1,3,2,349,7.6,121
19,Carolina Panthers,CAR,DST,16,63,39,61,11,12,1,3,0,343,7.4,118
19,Washington Commanders,WAS,DST,16,61,32,71,21,9,0,4,0,388,7.4,118
21,Miami Dolphins,MIA,DST,16,78,42,93,10,6,0,0,3,305,7.2,115
22,New Orleans Saints,NO,DST,16,60,30,75,15,11,0,4,1,434,6.9,111
23,Pittsburgh Steelers,PIT,DST,16,65,37,68,10,10,0,1,0,290,6.9,110
24,Indianapolis Colts,IND,DST,16,65,32,69,12,3,0,4,2,369,6.8,108
25,Tampa Bay Buccaneers,TB,DST,16,105,27,57,18,8,0,3,1,370,6.6,105
26,Buffalo Bills,BUF,DST,16,72,36,66,12,9,1,1,3,423,5.7,91
26,Dallas Cowboys,DAL,DST,16,59,34,70,7,9,0,3,1,382,5.7,91
28,Jacksonville Jaguars,JAX,DST,16,51,20,59,12,11,0,0,1,414,4.2,68
29,Detroit Lions,DET,DST,16,96,34,99,11,6,1,0,0,401,4.2,67
30,Philadelphia Eagles,PHI,DST,16,78,30,59,8,5,0,0,1,402,3.7,59
31,Las Vegas Raiders,LV,DST,16,76,25,83,11,8,0,0,0,431,3.6,58
32,Kansas City Chiefs,KC,DST,16,71,27,50,7,6,1,1,0,395,3.4,54
