Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Kansas City Chiefs,KC,DST,16,69.5,28,78,18,15,1,5,3,305,10.4,166
2,Minnesota Vikings,MIN,DST,16,70,41,115,14,13,1,4,3,307,9.8,156
3,Denver Broncos,DEN,DST,16,58.5,42,110,14,13,0,4,0,287,9.4,151
4,Arizona Cardinals,ARI,DST,16,110,48,103,14,14,2,3,0,342,9,144
5,New York Giants,NYG,DST,16,85,35,86,17,8,0,3,1,276,8.7,139
6,Philadelphia Eagles,PHI,DST,16,81,34,91,16,10,1,3,2,331,8.6,137
7,Tampa Bay Buccaneers,TB,DST,16,81.5,38,80,17,12,1,4,0,353,8.3,133
8,Carolina Panthers,CAR,DST,16,96,48,93,17,10,1,3,0,376,7.7,123
8,New England Patriots,NE,DST,16,57.5,34,73,13,10,3,0,0,250,7.7,123
10,Los Angeles Chargers,LAC,DST,16,102,35,87,18,11,1,5,0,397,7.6,122
11,Baltimore Ravens,BAL,DST,16,77,31,81,18,10,0,1,1,317,7.6,121
12,Seattle Seahawks,SEA,DST,16,88,42,95,11,8,1,1,0,290,7.1,113
13,Miami Dolphins,MIA,DST,16,91,33,98,16,9,0,1,3,374,7,112
14,Atlanta Falcons,ATL,DST,16,73,35,79,12,10,0,5,0,392,6.9,110
15,Pittsburgh Steelers,PIT,DST,16,87.5,38,90,13,10,1,1,0,327,6.5,104
16,Buffalo Bills,BUF,DST,16,79.5,39,78,12,6,0,3,0,370,6.4,103
17,Green Bay Packers,GB,DST,16,80,40,83,17,8,0,0,0,382,6.2,100
18,Houston Texans,HOU,DST,16,78,31,88,11,7,1,1,1,322,6.1,97
19,Tennessee Titans,TEN,DST,16,70,40,93,12,6,0,1,0,340,5.9,95
20,Cincinnati Bengals,CIN,DST,16,69,33,99,17,3,1,0,0,313,5.8,92
20,Las Vegas Raiders,LV,DST,16,59,25,78,16,14,0,1,0,385,5.8,92
22,Los Angeles Rams,LAR,DST,16,96,31,101,10,9,0,1,0,358,5.7,91
22,Dallas Cowboys,DAL,DST,16,87,36,89,9,11,0,0,0,306,5.7,91
22,Washington Commanders,WAS,DST,16,78,38,85,13,7,0,0,1,365,5.7,91
25,Indianapolis Colts,IND,DST,16,58,33,79,8,9,0,1,1,372,5.3,85
26,Detroit Lions,DET,DST,16,60,26,67,10,4,2,1,2,352,5.2,84
27,Chicago Bears,CHI,DST,16,69,37,72,8,3,1,2,1,385,5.2,83
28,Jacksonville Jaguars,JAX,DST,16,89,33,78,7,6,0,1,1,380,4.3,69
29,New York Jets,NYJ,DST,16,79,27,82,8,4,0,1,0,385,3.9,62
30,San Francisco 49ers,SF,DST,16,70,33,78,10,10,1,0,0,470,3.8,61
31,New Orleans Saints,NO,DST,16,73,30,103,9,12,1,0,0,428,3.4,55
32,Cleveland Browns,CLE,DST,16,60,26,81,10,3,0,1,0,434,3,48
